anio	BOYA	ErSST	HadSST	obs
1982	18.93	14.30	9.51	EN
1983	19.46	17.21	10.11	EN
1984	19.32	15.65	10.04	N
1985	18.07	16.05	10.26	N
1986	18.95	14.84	9.34	LN
1987	16.05	16.82	10.27	EN
1988	16.34	17.46	10.02	LN
1989	16.38	17.72	11.95	N
1990	17.33	17.56	11.32	LN
1991	16.58	17.76	11.63	EL
1992	14.25	18.25	11.18	N
1993	13.15	18.29	14.41	LN
1994	14.80	17.16	12.97	LN
1995	14.17	18.03	13.16	EN 
1996	11.17	17.54	13.70	EN
1997	12.24	17.73	13.28	N
1998	12.24	17.37	15.60	N
1999	13.16	16.90	15.93	LN
2000	12.50	17.06	16.12	LN
2001	10.22	15.65	15.86	EN
2002	11.02	14.87	17.33	EN
2003	10.64	16.19	16.84	EN
2004	11.30	15.59	16.86	LN
2005	11.55	15.07	17.17	LN
2006	11.12	13.32	18.01	N
2007	10.69	12.86	17.97	N
2008	10.39	12.90	17.22	N
2009	10.88	13.04	17.87	LN
2010	12.32	14.56	17.67	LN
2011	11.30	14.34	17.81	EN
2012	11.53	14.24	16.40	EN
2013	11.73	14.01	17.37	LN
2014	11.52	13.65	18.41	N
2015	13.23	12.59	16.93	N
